"id","wifi","workspace","quiet","all_three","wifi_workspace_only","wifi_only","neighbourhood_cleansed","neighbourhood_group_cleansed","price"
139624,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Crown Heights","Brooklyn",62
140133,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Williamsburg","Brooklyn",177
141154,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Boerum Hill","Brooklyn",100
141335,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Park Slope","Brooklyn",857
142069,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"East Village","Manhattan",100
144087,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Harlem","Manhattan",550
144148,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"East Village","Manhattan",67
146726,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Harlem","Manhattan",175
148201,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"West Village","Manhattan",175
148259,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Williamsburg","Brooklyn",314
148825,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Upper West Side","Manhattan",193
149287,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Upper East Side","Manhattan",250
150804,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Lower East Side","Manhattan",350
150989,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Williamsburg","Brooklyn",140
151199,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Astoria","Queens",149
152071,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Park Slope","Brooklyn",150
152259,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Harlem","Manhattan",58
152263,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Harlem","Manhattan",300
152819,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Williamsburg","Brooklyn",398
153780,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"East Village","Manhattan",199
154934,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Harlem","Manhattan",75
155087,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Park Slope","Brooklyn",625
157673,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Bedford-Stuyvesant","Brooklyn",65
158061,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Bedford-Stuyvesant","Brooklyn",165
158176,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Williamsburg","Brooklyn",135
158178,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Williamsburg","Brooklyn",105
159749,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Bedford-Stuyvesant","Brooklyn",81
159815,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Bedford-Stuyvesant","Brooklyn",70
159913,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Chelsea","Manhattan",150
162493,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Williamsburg","Brooklyn",650
162508,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Crown Heights","Brooklyn",150
163814,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"East Village","Manhattan",189
166006,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Upper West Side","Manhattan",250
166172,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Bushwick","Brooklyn",55
166983,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Carroll Gardens","Brooklyn",350
168123,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Windsor Terrace","Brooklyn",110
169063,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"East Village","Manhattan",150
169306,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"University Heights","Bronx",45
169464,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Williamsburg","Brooklyn",85
169483,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Gravesend","Brooklyn",184
170420,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"East Harlem","Manhattan",79
170761,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Fort Greene","Brooklyn",85
171562,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Chelsea","Manhattan",230
171978,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Crown Heights","Brooklyn",79
173151,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Greenpoint","Brooklyn",78
175470,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Upper West Side","Manhattan",187
176135,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Crown Heights","Brooklyn",97
177495,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Chelsea","Manhattan",550
177606,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Kips Bay","Manhattan",189
179670,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"East Village","Manhattan",175
179741,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Nolita","Manhattan",285
180792,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Astoria","Queens",200
182069,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"East Harlem","Manhattan",110
182177,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Allerton","Bronx",125
187566,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Bedford-Stuyvesant","Brooklyn",139
187986,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Chelsea","Manhattan",250
188674,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"East Village","Manhattan",165
188803,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Fort Greene","Brooklyn",90
189135,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Hell's Kitchen","Manhattan",144
189181,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Chelsea","Manhattan",282
189732,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"East New York","Brooklyn",188
189787,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Crown Heights","Brooklyn",108
190968,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Prospect Heights","Brooklyn",175
